GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0043231	C	20	1080	85	8571	1.8673202614379085	0.0037713315300252326	2.155587808417997	intracellular membrane-bounded organelle	0.4467496102077831
GO:0031966	C	5	1080	12	8571	3.306712962962963	0.011612887838071071	4.972757475083056	mitochondrial membrane	0.4467496102077831
GO:0045211	C	8	1080	26	8571	2.4418803418803416	0.01198008029712017	3.0982587064676617	postsynaptic membrane	0.4467496102077831
GO:0030667	C	6	1080	17	8571	2.8009803921568626	0.0142517448190649	3.798882681564246	secretory granule membrane	0.4467496102077831
GO:0005789	C	37	1080	206	8571	1.4254180151024811	0.015547661069282428	1.5369524641594854	endoplasmic reticulum membrane	0.4467496102077831
GO:0045334	C	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	clathrin-coated endocytic vesicle	0.4467496102077831
GO:0005795	C	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	Golgi stack	0.4467496102077831
GO:0042645	C	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	mitochondrial nucleoid	0.4467496102077831
GO:0005759	C	6	1080	18	8571	2.64537037037037	0.019148302119829156	3.4818435754189943	mitochondrial matrix	0.4467496102077831
GO:0002116	C	2	1080	3	8571	5.29074074074074	0.04360257048027498	13.896103896103897	semaphorin receptor complex	0.4467496102077831
GO:0099503	C	2	1080	3	8571	5.29074074074074	0.04360257048027498	13.896103896103897	secretory vesicle	0.4467496102077831
GO:0071203	C	2	1080	3	8571	5.29074074074074	0.04360257048027498	13.896103896103897	WASH complex	0.4467496102077831
GO:0030896	C	2	1080	3	8571	5.29074074074074	0.04360257048027498	13.896103896103897	checkpoint clamp complex	0.4467496102077831
GO:0030130	C	2	1080	3	8571	5.29074074074074	0.04360257048027498	13.896103896103897	clathrin coat of trans-Golgi network vesicle	0.4467496102077831
GO:0030015	C	2	1080	3	8571	5.29074074074074	0.04360257048027498	13.896103896103897	CCR4-NOT core complex	0.4467496102077831
GO:0048188	C	3	1080	7	8571	3.401190476190476	0.04721265417811435	5.213788300835654	Set1C/COMPASS complex	0.4467496102077831
GO:0035861	C	4	1080	12	8571	2.64537037037037	0.054030593475317495	3.4772304832713754	site of double-strand break	0.4467496102077831
GO:0000139	C	16	1080	85	8571	1.493856209150327	0.0634276616398215	1.6175220660346519	Golgi membrane	0.4467496102077831
GO:0000932	C	4	1080	13	8571	2.4418803418803416	0.07051287677858581	3.090458488228005	P-body	0.4467496102077831
GO:0010494	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	cytoplasmic stress granule	0.4467496102077831
GO:0044666	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	MLL3/4 complex	0.4467496102077831
GO:0000811	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	GINS complex	0.4467496102077831
GO:0005861	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	troponin complex	0.4467496102077831
GO:0030014	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	CCR4-NOT complex	0.4467496102077831
GO:0043186	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	P granule	0.4467496102077831
GO:0035371	C	2	1080	4	8571	3.9680555555555554	0.07997448418179567	6.947124304267161	microtubule plus-end	0.4467496102077831
GO:0034707	C	3	1080	9	8571	2.64537037037037	0.09357387573103057	3.4749303621169916	chloride channel complex	0.4467496102077831
GO:0032580	C	3	1080	9	8571	2.64537037037037	0.09357387573103057	3.4749303621169916	Golgi cisterna membrane	0.4467496102077831
GO:0034703	C	4	1080	15	8571	2.1162962962962966	0.11008975645525705	2.5278810408921935	cation channel complex	0.4467496102077831
