GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0005506	F	38	1080	151	8571	1.997167034584253	1.6545339782282332e-05	2.3810915020467784	iron ion binding	0.012521845335740871
GO:0004983	F	8	1080	12	8571	5.29074074074074	1.9205284257271276e-05	13.968283582089553	neuropeptide Y receptor activity	0.012521845335740871
GO:0020037	F	37	1080	150	8571	1.957574074074074	3.4209936078958925e-05	2.3162083506562925	heme binding	0.014869918882320813
GO:0099095	F	9	1080	17	8571	4.201470588235294	7.303914628385405e-05	7.860294117647059	ligand-gated monoatomic anion channel activity	0.023810761688536422
GO:0034587	P	11	1080	26	8571	3.35758547008547	0.00015346207552748866	5.128531337698784	piRNA processing	0.04002290929756904
GO:0008395	F	15	1080	44	8571	2.7054924242424243	0.0001900352338775599	3.6240893637688196	steroid hydroxylase activity	0.041300990829389685
GO:0005254	F	10	1080	27	8571	2.9393004115226335	0.0010759412215620053	4.108851017042331	chloride channel activity	0.1839191133550633
GO:0033314	P	4	1080	5	8571	6.348888888888888	0.0011283381187427196	27.843866171003718	mitotic DNA replication checkpoint signaling	0.1839191133550633
GO:0006082	P	14	1080	47	8571	2.363947990543735	0.0014224329880211052	2.9681050656660415	organic acid metabolic process	0.18548526163795212
GO:0006805	P	14	1080	47	8571	2.363947990543735	0.0014224329880211052	2.9681050656660415	xenobiotic metabolic process	0.18548526163795212
GO:0016712	F	14	1080	48	8571	2.314699074074074	0.0017796555018368624	2.8804215870213	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	0.20183540328861113
GO:0004726	F	3	1080	3	8571	7.936111111111111	0.001995820601152241	inf	non-membrane spanning protein tyrosine phosphatase activity	0.20183540328861113
GO:0050661	F	7	1080	16	8571	3.472048611111111	0.0020121627628465833	5.423423423423423	NADP binding	0.20183540328861113
GO:0071880	P	5	1080	9	8571	4.40895061728395	0.002558113583269291	8.705813953488372	adenylate cyclase-activating adrenergic receptor signaling pathway	0.22238534083887704
GO:0008188	F	5	1080	9	8571	4.40895061728395	0.002558113583269291	8.705813953488372	neuropeptide receptor activity	0.22238534083887704
GO:0005230	F	10	1080	31	8571	2.5600358422939067	0.003529971546162777	3.3244325767690253	extracellular ligand-gated monoatomic ion channel activity	0.28769268101226636
GO:0043231	C	20	1080	85	8571	1.8673202614379085	0.0037713315300252326	2.155587808417997	intracellular membrane-bounded organelle	0.2892833126560531
GO:0005385	F	5	1080	10	8571	3.968055555555555	0.004588354830774167	6.963720930232558	zinc ion transmembrane transporter activity	0.3324008166294174
GO:0000290	P	3	1080	4	8571	5.952083333333333	0.007230656778754283	20.86350974930362	deadenylation-dependent decapping of nuclear-transcribed mRNA	0.38212143165297796
GO:0004500	F	8	1080	25	8571	2.5395555555555553	0.009297930613386513	3.2809482001755925	dopamine beta-monooxygenase activity	0.38212143165297796
GO:0004656	F	6	1080	16	8571	2.9760416666666667	0.010299072486500808	4.179329608938548	procollagen-proline 4-dioxygenase activity	0.38212143165297796
GO:0004499	F	4	1080	8	8571	3.9680555555555554	0.011533188738750885	6.95817843866171	N,N-dimethylaniline monooxygenase activity	0.38212143165297796
GO:0043410	P	5	1080	12	8571	3.306712962962963	0.011612887838071071	4.972757475083056	positive regulation of MAPK cascade	0.38212143165297796
GO:0031966	C	5	1080	12	8571	3.306712962962963	0.011612887838071071	4.972757475083056	mitochondrial membrane	0.38212143165297796
GO:0045211	C	8	1080	26	8571	2.4418803418803416	0.01198008029712017	3.0982587064676617	postsynaptic membrane	0.38212143165297796
GO:0030667	C	6	1080	17	8571	2.8009803921568626	0.0142517448190649	3.798882681564246	secretory granule membrane	0.38212143165297796
GO:0005789	C	37	1080	206	8571	1.4254180151024811	0.015547661069282428	1.5369524641594854	endoplasmic reticulum membrane	0.38212143165297796
GO:0008582	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	regulation of synaptic assembly at neuromuscular junction	0.38212143165297796
GO:0140673	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	transcription elongation-coupled chromatin remodeling	0.38212143165297796
GO:0045134	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	UDP phosphatase activity	0.38212143165297796
GO:0005068	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	transmembrane receptor protein tyrosine kinase adaptor activity	0.38212143165297796
GO:0042645	C	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	mitochondrial nucleoid	0.38212143165297796
GO:0140410	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	monoatomic cation:bicarbonate symporter activity	0.38212143165297796
GO:0045334	C	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	clathrin-coated endocytic vesicle	0.38212143165297796
GO:0071578	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	zinc ion import across plasma membrane	0.38212143165297796
GO:0004382	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	GDP phosphatase activity	0.38212143165297796
GO:0034063	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	stress granule assembly	0.38212143165297796
GO:0005795	C	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	Golgi stack	0.38212143165297796
GO:0007274	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	neuromuscular synaptic transmission	0.38212143165297796
GO:0001578	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	microtubule bundle formation	0.38212143165297796
GO:0033962	P	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	P-body assembly	0.38212143165297796
