GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0005506	F	38	1080	151	8571	1.997167034584253	1.6545339782282332e-05	2.3810915020467784	iron ion binding	0.004810923706446454
GO:0004983	F	8	1080	12	8571	5.29074074074074	1.9205284257271276e-05	13.968283582089553	neuropeptide Y receptor activity	0.004810923706446454
GO:0020037	F	37	1080	150	8571	1.957574074074074	3.4209936078958925e-05	2.3162083506562925	heme binding	0.0057130593251861405
GO:0099095	F	9	1080	17	8571	4.201470588235294	7.303914628385405e-05	7.860294117647059	ligand-gated monoatomic anion channel activity	0.00914815307205272
GO:0008395	F	15	1080	44	8571	2.7054924242424243	0.0001900352338775599	3.6240893637688196	steroid hydroxylase activity	0.019041530434531502
GO:0005254	F	10	1080	27	8571	2.9393004115226335	0.0010759412215620053	4.108851017042331	chloride channel activity	0.08984109200042743
GO:0016712	F	14	1080	48	8571	2.314699074074074	0.0017796555018368624	2.8804215870213	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	0.1120103937984598
GO:0004726	F	3	1080	3	8571	7.936111111111111	0.001995820601152241	inf	non-membrane spanning protein tyrosine phosphatase activity	0.1120103937984598
GO:0050661	F	7	1080	16	8571	3.472048611111111	0.0020121627628465833	5.423423423423423	NADP binding	0.1120103937984598
GO:0008188	F	5	1080	9	8571	4.40895061728395	0.002558113583269291	8.705813953488372	neuropeptide receptor activity	0.12816149052179146
GO:0005230	F	10	1080	31	8571	2.5600358422939067	0.003529971546162777	3.3244325767690253	extracellular ligand-gated monoatomic ion channel activity	0.16077415860250469
GO:0005385	F	5	1080	10	8571	3.968055555555555	0.004588354830774167	6.963720930232558	zinc ion transmembrane transporter activity	0.19156381418482146
GO:0004500	F	8	1080	25	8571	2.5395555555555553	0.009297930613386513	3.2809482001755925	dopamine beta-monooxygenase activity	0.35832794133128026
GO:0004656	F	6	1080	16	8571	2.9760416666666667	0.010299072486500808	4.179329608938548	procollagen-proline 4-dioxygenase activity	0.3586883889649028
GO:0004499	F	4	1080	8	8571	3.9680555555555554	0.011533188738750885	6.95817843866171	N,N-dimethylaniline monooxygenase activity	0.3586883889649028
GO:0045134	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	UDP phosphatase activity	0.3586883889649028
GO:0004382	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	GDP phosphatase activity	0.3586883889649028
GO:0140410	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	monoatomic cation:bicarbonate symporter activity	0.3586883889649028
GO:0005068	F	2	1080	2	8571	7.936111111111111	0.015864737227526488	inf	transmembrane receptor protein tyrosine kinase adaptor activity	0.3586883889649028
GO:0004890	F	3	1080	5	8571	4.761666666666666	0.01638413476877163	10.430362116991644	GABA-A receptor activity	0.3586883889649028
GO:0031418	F	6	1080	18	8571	2.64537037037037	0.019148302119829156	3.4818435754189943	L-ascorbic acid binding	0.3586883889649028
GO:0004930	F	21	1080	107	8571	1.5575545171339562	0.024665290256930532	1.707457671783385	G protein-coupled receptor activity	0.3586883889649028
GO:0070679	F	3	1080	6	8571	3.9680555555555554	0.02972182576947984	6.952646239554317	inositol 1,4,5 trisphosphate binding	0.3586883889649028
