GO_ID	name	namespace	observed	expected	fold_enrichment	p_value	total_study_annotations	background_size	p_fdr_bh	significant
GO:0006584	catecholamine metabolic process	biological_process	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0042420	dopamine catabolic process	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	molecular_function	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0030667	secretory granule membrane	cellular_component	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0005615	extracellular space	cellular_component	53	0.9210964607911173	57.54011903864989	0.0	39819	43230	0.0	True
GO:0038023	signaling receptor activity	molecular_function	114	0.9210964607911173	123.7655390642658	0.0	39819	43230	0.0	True
GO:0003674	molecular_function	molecular_function	2208	0.9210964607911173	2397.143072402622	0.0	39819	43230	0.0	True
GO:0004888	transmembrane signaling receptor activity	molecular_function	100	0.9210964607911173	108.56626233707526	0.0	39819	43230	0.0	True
GO:0060089	molecular transducer activity	molecular_function	114	0.9210964607911173	123.7655390642658	0.0	39819	43230	0.0	True
GO:0004930	G protein-coupled receptor activity	molecular_function	57	0.9210964607911173	61.8827695321329	0.0	39819	43230	0.0	True
GO:0005575	cellular_component	cellular_component	1588	0.9210964607911173	1724.0322459127551	0.0	39819	43230	0.0	True
GO:0110165	cellular anatomical structure	cellular_component	1381	0.9210964607911173	1499.3000828750094	0.0	39819	43230	0.0	True
GO:0035252	UDP-xylosyltransferase activity	molecular_function	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0089718	amino acid import across plasma membrane	biological_process	2	0.9210964607911173	2.1713252467415054	0.0	39819	43230	0.0	True
GO:1902750	negative regulation of cell cycle G2/M phase transition	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0007346	regulation of mitotic cell cycle	biological_process	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0009712	catechol-containing compound metabolic process	biological_process	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0005507	copper ion binding	molecular_function	13	0.9210964607911173	14.113614103819785	0.0	39819	43230	0.0	True
GO:0031090	organelle membrane	cellular_component	121	0.9210964607911173	131.36517742786106	0.0	39819	43230	0.0	True
GO:0030659	cytoplasmic vesicle membrane	cellular_component	22	0.9210964607911173	23.88457771415656	0.0	39819	43230	0.0	True
GO:0098588	bounding membrane of organelle	cellular_component	53	0.9210964607911173	57.54011903864989	0.0	39819	43230	0.0	True
GO:0012506	vesicle membrane	cellular_component	23	0.9210964607911173	24.97024033752731	0.0	39819	43230	0.0	True
GO:0006465	signal peptide processing	biological_process	2	0.9210964607911173	2.1713252467415054	0.0	39819	43230	0.0	True
GO:0016020	membrane	cellular_component	623	0.9210964607911173	676.3678143599789	0.0	39819	43230	0.0	True
GO:0043169	cation binding	molecular_function	342	0.9210964607911173	371.2966171927974	0.0	39819	43230	0.0	True
GO:0036094	small molecule binding	molecular_function	584	0.9210964607911173	634.0269720485195	0.0	39819	43230	0.0	True
GO:0019321	pentose metabolic process	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0005997	xylulose metabolic process	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0006006	glucose metabolic process	biological_process	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0050038	L-xylulose reductase (NADPH) activity	molecular_function	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0018455	alcohol dehydrogenase [NAD(P)+] activity	molecular_function	3	0.9210964607911173	3.256987870112258	0.0	39819	43230	0.0	True
GO:0008152	metabolic process	biological_process	674	0.9210964607911173	731.7366081518873	0.0	39819	43230	0.0	True
GO:0006066	alcohol metabolic process	biological_process	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0046165	alcohol biosynthetic process	biological_process	8	0.9210964607911173	8.685300986966022	0.0	39819	43230	0.0	True
GO:0006589	octopamine biosynthetic process	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0042401	biogenic amine biosynthetic process	biological_process	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0009713	catechol-containing compound biosynthetic process	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
GO:0009309	amine biosynthetic process	biological_process	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0009058	biosynthetic process	biological_process	179	0.9210964607911173	194.33360958336473	0.0	39819	43230	0.0	True
GO:0042415	norepinephrine metabolic process	biological_process	6	0.9210964607911173	6.513975740224516	0.0	39819	43230	0.0	True
