,BRS-C268,JEJ-C119,VAJ-C24,BJJ-C34,FUR-C230,LEJ-C64,TOJ-C71,RYJ-C139,JoeJ-C252,SSJ-C259,GoeJ-C19,SHJ-C48,KLJ-C127,DoeJ-C27,NOJ-C37,GSJ-C274,ULJ-C60,LVJ-C76,GEJ-C42,SBJ-C52,BIJ-C30,SUJ-C130,SKJ-C16,SKJ-C216,RDJ-C344,aaRJ-C225,HAS-C59,SKS-C55,GUS-C41,ORoe-C299,JHJ-C220,HHJ-C162,MSJ-C2,DSJ-C190,UTJ-C22,aeRoe-C36,FHJ-C38,KOS-C293,STF-C266,KRS-C23,MMS-C295
EntNic_HiC_scaffold_1_R101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1
EntNic_HiC_scaffold_1_R102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R109,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R11,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1
EntNic_HiC_scaffold_1_R110,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EntNic_HiC_scaffold_1_R113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
EntNic_HiC_scaffold_1_R115,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R12,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R122,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1
EntNic_HiC_scaffold_1_R123,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EntNic_HiC_scaffold_1_R128,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0
