pop_clean	total_sites	mean_LR	median_LR	max_LR	pct_LR_gt_1	pct_LR_gt_5	pct_LR_gt_10
JoeJ_C252	1263582	40.858874	0.039933	7526.60412	17.671429	3.268011	2.486661
DSJ_C190	1263582	37.908616	0.046011	6396.716117	18.946535	4.340834	3.399225
HHJ_C162	1263582	29.56546	0.03187	7503.240578	17.979997	3.941889	3.04721
UTJ_C22	1263582	28.726442	0.038661	7185.095844	17.588253	2.815805	1.971142
LVJ_C76	1263582	24.473448	0.059681	6206.00513	19.845408	4.39924	3.349051
NOJ_C37	1263582	12.561532	0.048344	2603.570269	19.60498	4.724743	3.698375
ORoe_C299	1263582	10.596949	0.117404	2940.04875	22.730064	5.123055	3.799753
GUS_C41	1263582	9.758234	0.095425	4040.127905	23.652996	4.875505	3.550304
SBJ_C52	1263582	9.693278	0.067645	2126.990007	21.824464	5.061405	3.907226
GEJ_C42	1263582	9.558335	0.062861	1415.98215	20.780131	5.043282	3.894168
BRS_C268	1263582	8.453475	0.116375	2418.140829	23.050344	5.496438	4.139818
DoeJ_C27	1263582	7.904575	0.044365	2687.450682	19.116369	3.84977	2.903175
RYJ_C139	1263582	7.337761	0.041252	2722.348393	18.399835	3.277429	2.330676
KLJ_C127	1263582	7.037104	0.038112	1859.803493	18.608923	3.874857	2.907924
MMS_C295	1263582	6.969342	0.060292	4278.108069	19.484766	4.432162	3.362584
JHJ_C220	1263582	6.633521	0.053948	1599.273758	20.739453	5.024921	3.850878
LEJ_C64	1263582	6.236111	0.065597	1505.845844	23.055647	4.698073	3.477258
BJJ_C34	1263582	6.03558	0.062574	1990.360943	22.951577	4.229088	2.996719
STF_C266	1263582	5.783628	0.058596	1709.02837	20.802528	4.24547	3.059477
KRS_C23	1263582	5.620934	0.078399	1210.448695	21.76321	4.791379	3.55798
HAS_C59	1263582	5.514305	0.058441	4276.370327	21.584828	3.735729	2.502172
BIJ_C30	1263582	5.440058	0.057383	1446.037195	20.788758	4.155251	3.044045
ULJ_C60	1263582	5.058195	0.044368	1777.564309	17.311658	3.304099	2.438306
aaRJ_C225	1263582	4.741031	0.044595	1427.887138	18.507703	3.534792	2.571499
GSJ_C274	1263582	4.725268	0.047626	1140.274039	19.659508	3.830143	2.753838
TOJ_C71	1263582	4.683878	0.038462	1733.22602	20.73241	3.909362	2.853159
aeRoe_C36	1263582	4.438733	0.080239	1003.383347	21.680508	4.004805	2.841209
FUR_C230	1263582	4.400898	0.047684	780.924731	20.986212	4.020792	2.910694
MSJ_C2	1263582	4.324441	0.035735	1491.690256	17.380431	3.352533	2.438939
GoeJ_C19	1263582	4.11928	0.03186	2686.188712	16.717949	2.984531	2.145488
SKJ_C216	1263582	3.901677	0.049972	1508.377427	18.300989	2.909902	1.983726
SUJ_C130	1263582	3.744974	0.03891	1277.355776	18.973521	3.56629	2.503755
SKJ_C16	1263582	3.679554	0.055398	1639.5018	19.486666	3.036051	2.085025
SSJ_C259	1263582	3.023315	0.047137	1129.113464	18.535481	2.98469	2.003511
FHJ_C38	1263582	2.959255	0.042773	1482.403132	17.153299	2.539685	1.682598
RDJ_C344	1263582	2.424779	0.038802	1023.480977	18.647464	2.934119	1.991798
SKS_C55	1263582	2.129305	0.044038	975.799832	18.645723	2.955487	1.861138
VAJ_C24	1263582	1.847215	0.058337	944.469167	20.184127	2.687439	1.600292
JEJ_C119	1263582	1.801512	0.068215	836.61028	20.965319	2.66528	1.490129
KOS_C293	1263582	1.594823	0.047564	633.199755	16.845919	2.243305	1.394448
SHJ_C48	1263582	1.53304	0.030863	1008.959238	15.19656	1.944472	1.200793
