Query	Entry	Entry_Name	Protein_Name	Gene_Names	Organism	GO_IDs	GO_Terms	GO_Evidence	Status
A0A1D2MRQ9	A0A1D2MRQ9	A0A1D2MRQ9_ORCCI	FMRFamide receptor	NA	Orchesella cincta	GO:0016020;GO:0004930	C:membrane;F:G protein-coupled receptor activity	IEA:UniProtKB-SubCell;IEA:InterPro	Success
A0A1D2NMV6	A0A1D2NMV6	A0A1D2NMV6_ORCCI	F-box domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2N6I4	A0A1D2N6I4	A0A1D2N6I4_ORCCI	DBH-like monooxygenase protein 2	NA	Orchesella cincta	GO:0005615;GO:0030667;GO:0005507;GO:0004500;GO:0042420;GO:0042421;GO:0006589	C:extracellular space;C:secretory granule membrane;F:copper ion binding;F:dopamine beta-monooxygenase activity;P:dopamine catabolic process;P:norepinephrine biosynthetic process;P:octopamine biosynthetic process	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MNZ5	A0A1D2MNZ5	A0A1D2MNZ5_ORCCI	Probable RNA-binding protein EIF1AD	NA	Orchesella cincta	GO:0005634;GO:0003723;GO:0003743	C:nucleus;F:RNA binding;F:translation initiation factor activity	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-UniRule	Success
A0A1D2N0E9	A0A1D2N0E9	A0A1D2N0E9_ORCCI	50S ribosomal protein L9	NA	Orchesella cincta	GO:0005840	C:ribosome	IEA:UniProtKB-KW	Success
A0A1D2MXX5	A0A1D2MXX5	A0A1D2MXX5_ORCCI	Endothelial lipase	NA	Orchesella cincta	GO:0005615;GO:0016020;GO:0016298;GO:0017171;GO:0016042	C:extracellular space;C:membrane;F:lipase activity;F:serine hydrolase activity;P:lipid catabolic process	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2N9J8	A0A1D2N9J8	A0A1D2N9J8_ORCCI	Pancreatic lipase-related protein 2	NA	Orchesella cincta	GO:0005615;GO:0016298;GO:0016042	C:extracellular space;F:lipase activity;P:lipid catabolic process	IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2N9J8	A0A1D2N9J8	A0A1D2N9J8_ORCCI	Pancreatic lipase-related protein 2	NA	Orchesella cincta	GO:0005615;GO:0016298;GO:0016042	C:extracellular space;F:lipase activity;P:lipid catabolic process	IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2N9J8	A0A1D2N9J8	A0A1D2N9J8_ORCCI	Pancreatic lipase-related protein 2	NA	Orchesella cincta	GO:0005615;GO:0016298;GO:0016042	C:extracellular space;F:lipase activity;P:lipid catabolic process	IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2N9J8	A0A1D2N9J8	A0A1D2N9J8_ORCCI	Pancreatic lipase-related protein 2	NA	Orchesella cincta	GO:0005615;GO:0016298;GO:0016042	C:extracellular space;F:lipase activity;P:lipid catabolic process	IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter	Success
