region_id	chromosome	start	end	length	num_populations_total	North-West_Middle Jylland	North-West_North Jylland (Middle)	North-West_North Jylland (Top)	North-West_North Jylland (West)	Outgroup_1	South-East_East Jylland	South-East_North Sjaeland	South-East_Outgroup_2(East Jylland)	South-East_South Costal Denmark
EntNic_HiC_scaffold_1_R2	HiC_scaffold_1	687519	773649	86131	16	0.419	0.752	0.678	0.829	0.106	0.207	0.142	0.613	0.59
EntNic_HiC_scaffold_1_R5	HiC_scaffold_1	1228316	1246145	17830	7	0.0	0.144	0.0	0.268	0.603	0.391	0.694	0.0	1.0
EntNic_HiC_scaffold_1_R6	HiC_scaffold_1	1271539	1289428	17890	11	0.0	0.899	0.967	0.225	0.0	0.0	0.0	0.211	0.0
EntNic_HiC_scaffold_1_R7	HiC_scaffold_1	1477345	1486545	9201	5	1.0	0.0	0.072	0.894	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R8	HiC_scaffold_1	2308189	2348621	40433	8	0.455	0.046	0.16	0.046	0.996	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R9	HiC_scaffold_1	2391441	2396817	5377	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R11	HiC_scaffold_1	3108487	3137368	28882	20	0.136	0.73	0.482	0.14	0.083	0.464	0.411	0.176	0.243
EntNic_HiC_scaffold_1_R12	HiC_scaffold_1	3139011	3170224	31214	8	0.286	0.056	0.131	0.707	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R15	HiC_scaffold_1	3378242	3385300	7059	4	0.0	0.0	0.983	0.0	0.0	0.0	0.111	0.0	0.0
EntNic_HiC_scaffold_1_R16	HiC_scaffold_1	3441529	3457221	15693	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
EntNic_HiC_scaffold_1_R18	HiC_scaffold_1	3613873	3622171	8299	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EntNic_HiC_scaffold_1_R22	HiC_scaffold_1	6782264	6795885	13622	4	0.0	1.0	0.911	0.0	0.0	0.488	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R23	HiC_scaffold_1	6796932	6966801	169870	22	0.057	0.782	0.173	0.264	0.01	0.556	0.119	0.0	0.01
EntNic_HiC_scaffold_1_R24	HiC_scaffold_1	7026709	7032324	5616	21	0.896	1.0	0.0	1.0	1.0	1.0	0.868	0.0	1.0
EntNic_HiC_scaffold_1_R25	HiC_scaffold_1	8880198	8890970	10773	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EntNic_HiC_scaffold_1_R27	HiC_scaffold_1	9018914	9047895	28982	9	0.0	0.0	0.0	0.0	0.977	0.037	1.0	0.0	0.543
EntNic_HiC_scaffold_1_R29	HiC_scaffold_1	14101905	14114635	12731	4	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.543
