region_id	species	chromosome	start	end	num_populations	population_id	peak_start	peak_end	overlap_fraction	highest_LR	lowest_alpha
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_BIJ-C30	373137	373137	0.5	52.35606	2.191277e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_JHJ-C220	373137	373138	1.0	72.01959	2.441506e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_SKJ-C216	373137	373138	1.0	99.38356	1.994663e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_SKJ-C16	373137	373138	1.0	66.44361	2.160469e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_LEJ-C64	373137	373138	1.0	60.85448	2.244797e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_BJJ-C34	373137	373137	0.5	58.32915	2.115835e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_GoeJ-C19	373137	373138	1.0	81.22299	2.602773e-06
EntNic_HiC_scaffold_1_R1	EntNic	HiC_scaffold_1	373137	373138	8	EntNic_LVJ-C76	373137	373138	1.0	139.90202	2.137008e-06
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_LVJ-C76	687519	752308	0.75223	294.9037	8.784817e-06
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_DSJ-C190	687519	705307	0.20653	214.45265	1.224248e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_BIJ-C30	687519	745921	0.67807	176.71591	1.678956e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_HHJ-C162	687809	700747	0.15022	121.09507	3.721091e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_HAS-C59	688541	700747	0.14173	141.42895	2.659123e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_BJJ-C34	694285	765703	0.82919	197.63149	1.75679e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_JHJ-C220	698822	751626	0.61308	160.51918	1.472327e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_GoeJ-C19	698828	734934	0.41921	75.43811	2.036268e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_KRS-C23	698828	749608	0.58958	113.55154	1.885736e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_UTJ-C22	698828	705307	0.07523	50.43668	2.74456e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_SKJ-C216	698828	734933	0.4192	76.3281	2.186937e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_LEJ-C64	732955	732955	1e-05	68.37996	2.558622e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_DSJ-C190	732955	749620	0.1935	86.49471	3.854381e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_ULJ-C60	734226	743810	0.11128	81.66078	3.131976e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_HAS-C59	738143	748838	0.12418	91.31534	6.6561e-05
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_HHJ-C162	740482	749859	0.10888	93.5001	0.0001278456
EntNic_HiC_scaffold_1_R2	EntNic	HiC_scaffold_1	687519	773649	16	EntNic_BRS-C268	740487	749620	0.10605	100.52936	0.000100556
