Query	Entry	Entry_Name	Protein_Name	Gene_Names	Organism	GO_IDs	GO_Terms	GO_Evidence	Status
subject_id	NA	NA	NA	NA	NA	NA	NA	NA	Not_Found
A0A226DAJ4	A0A226DAJ4	A0A226DAJ4_FOLCA	27 kDa hemolymph glycoprotein	NA	Folsomia candida	NA	NA	NA	Success
A0AAD4BS42	A0AAD4BS42	A0AAD4BS42_BOLED	PIN domain-like protein	NA	Boletus edulis BED1	GO:0005634;GO:0017108;GO:0003677;GO:0046872;GO:0006281	C:nucleus;F:5'-flap endonuclease activity;F:DNA binding;F:metal ion binding;P:DNA repair	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:InterPro;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2N4L1	A0A1D2N4L1	A0A1D2N4L1_ORCCI	Kelch repeat and BTB domain-containing protein 12	NA	Orchesella cincta	NA	NA	NA	Success
A0A226D168	A0A226D168	A0A226D168_FOLCA	ATP-dependent DNA helicase	NA	Folsomia candida	GO:0005524;GO:0016887;GO:0003678;GO:0006310;GO:0006281;GO:0000723	F:ATP binding;F:ATP hydrolysis activity;F:DNA helicase activity;P:DNA recombination;P:DNA repair;P:telomere maintenance	IEA:UniProtKB-KW;IEA:RHEA;IEA:InterPro;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2MNM8	A0A1D2MNM8	A0A1D2MNM8_ORCCI	ATP-dependent DNA helicase PIF1	NA	Orchesella cincta	GO:0004386	F:helicase activity	IEA:UniProtKB-KW	Success
A0A1D2M9H9	A0A1D2M9H9	A0A1D2M9H9_ORCCI	BTB/POZ domain-containing protein 8	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MSN0	A0A1D2MSN0	A0A1D2MSN0_ORCCI	Putative RNA-binding protein EEED8.10	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MSN0	A0A1D2MSN0	A0A1D2MSN0_ORCCI	Putative RNA-binding protein EEED8.10	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M0Q4	A0A1D2M0Q4	A0A1D2M0Q4_ORCCI	F-box domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
