region_id,species,chromosome,start,end,region_length,population_id,num_populations,mapped_populations
EntNic_HiC_scaffold_1_R101,EntNic,HiC_scaffold_1,26172892,26192180,19289,"['EntNic_JHJ-C220', 'EntNic_GUS-C41', 'EntNic_DSJ-C190', 'EntNic_HHJ-C162', 'EntNic_KRS-C23', 'EntNic_MMS-C295', 'EntNic_STF-C266', 'EntNic_UTJ-C22']",8,"['JHJ-C220', 'GUS-C41', 'DSJ-C190', 'HHJ-C162', 'KRS-C23', 'MMS-C295', 'STF-C266', 'UTJ-C22']"
EntNic_HiC_scaffold_1_R102,EntNic,HiC_scaffold_1,26252561,26266757,14197,"['EntNic_GUS-C41', 'EntNic_HAS-C59', 'EntNic_ORoe-C299']",3,"['GUS-C41', 'HAS-C59', 'ORoe-C299']"
EntNic_HiC_scaffold_1_R109,EntNic,HiC_scaffold_1,26595569,26614325,18757,"['EntNic_SBJ-C52', 'EntNic_GEJ-C42', 'EntNic_DoeJ-C27', 'EntNic_FUR-C230', 'EntNic_SUJ-C130']",5,"['SBJ-C52', 'GEJ-C42', 'DoeJ-C27', 'FUR-C230', 'SUJ-C130']"
EntNic_HiC_scaffold_1_R11,EntNic,HiC_scaffold_1,3108487,3137368,28882,"['EntNic_MSJ-C2', 'EntNic_DSJ-C190', 'EntNic_JHJ-C220', 'EntNic_UTJ-C22', 'EntNic_GEJ-C42', 'EntNic_aaRJ-C225', 'EntNic_LEJ-C64', 'EntNic_ULJ-C60', 'EntNic_DSJ-C190', 'EntNic_aaRJ-C225', 'EntNic_SKJ-C216', 'EntNic_SKJ-C16', 'EntNic_JHJ-C220', 'EntNic_GUS-C41', 'EntNic_ORoe-C299', 'EntNic_BRS-C268', 'EntNic_FHJ-C38', 'EntNic_MMS-C295', 'EntNic_KRS-C23', 'EntNic_HHJ-C162', 'EntNic_MSJ-C2', 'EntNic_DoeJ-C27', 'EntNic_RDJ-C344', 'EntNic_LVJ-C76', 'EntNic_SSJ-C259', 'EntNic_ULJ-C60']",21,"['MSJ-C2', 'DSJ-C190', 'JHJ-C220', 'UTJ-C22', 'GEJ-C42', 'aaRJ-C225', 'LEJ-C64', 'ULJ-C60', 'DSJ-C190', 'aaRJ-C225', 'SKJ-C216', 'SKJ-C16', 'JHJ-C220', 'GUS-C41', 'ORoe-C299', 'BRS-C268', 'FHJ-C38', 'MMS-C295', 'KRS-C23', 'HHJ-C162', 'MSJ-C2', 'DoeJ-C27', 'RDJ-C344', 'LVJ-C76', 'SSJ-C259', 'ULJ-C60']"
EntNic_HiC_scaffold_1_R110,EntNic,HiC_scaffold_1,26639304,26690483,51180,"['EntNic_DoeJ-C27', 'EntNic_GEJ-C42', 'EntNic_SBJ-C52', 'EntNic_FUR-C230', 'EntNic_JHJ-C220', 'EntNic_GSJ-C274', 'EntNic_TOJ-C71', 'EntNic_SUJ-C130', 'EntNic_LEJ-C64', 'EntNic_GoeJ-C19', 'EntNic_BJJ-C34', 'EntNic_KLJ-C127', 'EntNic_DoeJ-C27', 'EntNic_KLJ-C127', 'EntNic_TOJ-C71', 'EntNic_SBJ-C52', 'EntNic_KLJ-C127']",12,"['DoeJ-C27', 'GEJ-C42', 'SBJ-C52', 'FUR-C230', 'JHJ-C220', 'GSJ-C274', 'TOJ-C71', 'SUJ-C130', 'LEJ-C64', 'GoeJ-C19', 'BJJ-C34', 'KLJ-C127', 'DoeJ-C27', 'KLJ-C127', 'TOJ-C71', 'SBJ-C52', 'KLJ-C127']"
EntNic_HiC_scaffold_1_R112,EntNic,HiC_scaffold_1,27428119,27440880,12762,"['EntNic_ORoe-C299', 'EntNic_MMS-C295', 'EntNic_GoeJ-C19']",3,"['ORoe-C299', 'MMS-C295', 'GoeJ-C19']"
EntNic_HiC_scaffold_1_R113,EntNic,HiC_scaffold_1,27450190,27604091,153902,"['EntNic_GoeJ-C19', 'EntNic_LEJ-C64', 'EntNic_NOJ-C37', 'EntNic_BIJ-C30', 'EntNic_LVJ-C76', 'EntNic_ORoe-C299', 'EntNic_DoeJ-C27', 'EntNic_MSJ-C2', 'EntNic_DSJ-C190', 'EntNic_JHJ-C220', 'EntNic_DoeJ-C27', 'EntNic_GEJ-C42', 'EntNic_SKJ-C216', 'EntNic_KLJ-C127', 'EntNic_MMS-C295', 'EntNic_LVJ-C76', 'EntNic_SKJ-C16', 'EntNic_GSJ-C274', 'EntNic_aaRJ-C225', 'EntNic_ORoe-C299', 'EntNic_KRS-C23', 'EntNic_RYJ-C139', 'EntNic_SUJ-C130', 'EntNic_HHJ-C162', 'EntNic_BIJ-C30', 'EntNic_SUJ-C130', 'EntNic_LVJ-C76', 'EntNic_RYJ-C139', 'EntNic_KLJ-C127', 'EntNic_TOJ-C71', 'EntNic_ORoe-C299', 'EntNic_RDJ-C344', 'EntNic_HHJ-C162', 'EntNic_SBJ-C52', 'EntNic_LEJ-C64', 'EntNic_aaRJ-C225', 'EntNic_LVJ-C76', 'EntNic_NOJ-C37', 'EntNic_RDJ-C344', 'EntNic_SBJ-C52', 'EntNic_KLJ-C127', 'EntNic_FUR-C230', 'EntNic_NOJ-C37', 'EntNic_RDJ-C344', 'EntNic_LEJ-C64', 'EntNic_KLJ-C127', 'EntNic_DoeJ-C27', 'EntNic_GEJ-C42', 'EntNic_BJJ-C34', 'EntNic_BIJ-C30', 'EntNic_SUJ-C130', 'EntNic_HHJ-C162', 'EntNic_GoeJ-C19', 'EntNic_NOJ-C37', 'EntNic_JHJ-C220', 'EntNic_VAJ-C24', 'EntNic_TOJ-C71', 'EntNic_JoeJ-C252', 'EntNic_GSJ-C274', 'EntNic_KLJ-C127', 'EntNic_SSJ-C259', 'EntNic_ULJ-C60', 'EntNic_JEJ-C119', 'EntNic_RDJ-C344', 'EntNic_SHJ-C48', 'EntNic_MSJ-C2', 'EntNic_JHJ-C220', 'EntNic_FHJ-C38', 'EntNic_MMS-C295', 'EntNic_GUS-C41', 'EntNic_ORoe-C299', 'EntNic_KRS-C23', 'EntNic_STF-C266', 'EntNic_SUJ-C130', 'EntNic_LVJ-C76', 'EntNic_BJJ-C34', 'EntNic_LEJ-C64', 'EntNic_HHJ-C162', 'EntNic_NOJ-C37', 'EntNic_DoeJ-C27', 'EntNic_GEJ-C42', 'EntNic_GSJ-C274', 'EntNic_TOJ-C71', 'EntNic_ORoe-C299', 'EntNic_FHJ-C38', 'EntNic_BRS-C268', 'EntNic_KOS-C293', 'EntNic_aeRoe-C36', 'EntNic_DSJ-C190', 'EntNic_ULJ-C60', 'EntNic_TOJ-C71', 'EntNic_BIJ-C30', 'EntNic_LEJ-C64', 'EntNic_BIJ-C30', 'EntNic_BJJ-C34', 'EntNic_RDJ-C344', 'EntNic_SUJ-C130', 'EntNic_ORoe-C299']",38,"['GoeJ-C19', 'LEJ-C64', 'NOJ-C37', 'BIJ-C30', 'LVJ-C76', 'ORoe-C299', 'DoeJ-C27', 'MSJ-C2', 'DSJ-C190', 'JHJ-C220', 'DoeJ-C27', 'GEJ-C42', 'SKJ-C216', 'KLJ-C127', 'MMS-C295', 'LVJ-C76', 'SKJ-C16', 'GSJ-C274', 'aaRJ-C225', 'ORoe-C299', 'KRS-C23', 'RYJ-C139', 'SUJ-C130', 'HHJ-C162', 'BIJ-C30', 'SUJ-C130', 'LVJ-C76', 'RYJ-C139', 'KLJ-C127', 'TOJ-C71', 'ORoe-C299', 'RDJ-C344', 'HHJ-C162', 'SBJ-C52', 'LEJ-C64', 'aaRJ-C225', 'LVJ-C76', 'NOJ-C37', 'RDJ-C344', 'SBJ-C52', 'KLJ-C127', 'FUR-C230', 'NOJ-C37', 'RDJ-C344', 'LEJ-C64', 'KLJ-C127', 'DoeJ-C27', 'GEJ-C42', 'BJJ-C34', 'BIJ-C30', 'SUJ-C130', 'HHJ-C162', 'GoeJ-C19', 'NOJ-C37', 'JHJ-C220', 'VAJ-C24', 'TOJ-C71', 'JoeJ-C252', 'GSJ-C274', 'KLJ-C127', 'SSJ-C259', 'ULJ-C60', 'JEJ-C119', 'RDJ-C344', 'SHJ-C48', 'MSJ-C2', 'JHJ-C220', 'FHJ-C38', 'MMS-C295', 'GUS-C41', 'ORoe-C299', 'KRS-C23', 'STF-C266', 'SUJ-C130', 'LVJ-C76', 'BJJ-C34', 'LEJ-C64', 'HHJ-C162', 'NOJ-C37', 'DoeJ-C27', 'GEJ-C42', 'GSJ-C274', 'TOJ-C71', 'ORoe-C299', 'FHJ-C38', 'BRS-C268', 'KOS-C293', 'aeRoe-C36', 'DSJ-C190', 'ULJ-C60', 'TOJ-C71', 'BIJ-C30', 'LEJ-C64', 'BIJ-C30', 'BJJ-C34', 'RDJ-C344', 'SUJ-C130', 'ORoe-C299']"
EntNic_HiC_scaffold_1_R115,EntNic,HiC_scaffold_1,27651320,27662088,10769,"['EntNic_GUS-C41', 'EntNic_HAS-C59', 'EntNic_BJJ-C34', 'EntNic_RDJ-C344', 'EntNic_LEJ-C64', 'EntNic_ULJ-C60', 'EntNic_GEJ-C42', 'EntNic_NOJ-C37', 'EntNic_SHJ-C48', 'EntNic_KLJ-C127', 'EntNic_SKJ-C16', 'EntNic_LVJ-C76', 'EntNic_GoeJ-C19', 'EntNic_SKJ-C216', 'EntNic_ORoe-C299', 'EntNic_HAS-C59']",15,"['GUS-C41', 'HAS-C59', 'BJJ-C34', 'RDJ-C344', 'LEJ-C64', 'ULJ-C60', 'GEJ-C42', 'NOJ-C37', 'SHJ-C48', 'KLJ-C127', 'SKJ-C16', 'LVJ-C76', 'GoeJ-C19', 'SKJ-C216', 'ORoe-C299', 'HAS-C59']"
EntNic_HiC_scaffold_1_R117,EntNic,HiC_scaffold_1,27859211,27871800,12590,['EntNic_GUS-C41'],1,['GUS-C41']
EntNic_HiC_scaffold_1_R12,EntNic,HiC_scaffold_1,3139011,3170224,31214,"['EntNic_JoeJ-C252', 'EntNic_SSJ-C259', 'EntNic_LEJ-C64', 'EntNic_SUJ-C130', 'EntNic_BJJ-C34', 'EntNic_JoeJ-C252', 'EntNic_GoeJ-C19', 'EntNic_TOJ-C71', 'EntNic_GSJ-C274', 'EntNic_SSJ-C259', 'EntNic_JoeJ-C252']",8,"['JoeJ-C252', 'SSJ-C259', 'LEJ-C64', 'SUJ-C130', 'BJJ-C34', 'JoeJ-C252', 'GoeJ-C19', 'TOJ-C71', 'GSJ-C274', 'SSJ-C259', 'JoeJ-C252']"
